id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Barat Daya_2023-11-24T00:00:00,Aceh Barat Daya,2023-11-24 00:00:00,3,Berawan,90,24,75
Aceh Barat Daya_2023-11-24T06:00:00,Aceh Barat Daya,2023-11-24 06:00:00,60,Hujan Ringan,70,31,88
Aceh Barat Daya_2023-11-24T12:00:00,Aceh Barat Daya,2023-11-24 12:00:00,60,Hujan Ringan,85,26,79
Aceh Barat Daya_2023-11-24T18:00:00,Aceh Barat Daya,2023-11-24 18:00:00,4,Berawan Tebal,95,24,75
Aceh Barat_2023-11-24T00:00:00,Aceh Barat,2023-11-24 00:00:00,60,Hujan Ringan,90,24,75
Aceh Barat_2023-11-24T06:00:00,Aceh Barat,2023-11-24 06:00:00,60,Hujan Ringan,70,31,88
Aceh Barat_2023-11-24T12:00:00,Aceh Barat,2023-11-24 12:00:00,4,Berawan Tebal,85,26,79
Aceh Barat_2023-11-24T18:00:00,Aceh Barat,2023-11-24 18:00:00,60,Hujan Ringan,95,24,75
Aceh Besar_2023-11-24T00:00:00,Aceh Besar,2023-11-24 00:00:00,60,Hujan Ringan,90,24,75
Aceh Besar_2023-11-24T06:00:00,Aceh Besar,2023-11-24 06:00:00,95,Hujan Petir,70,31,88
Aceh Besar_2023-11-24T12:00:00,Aceh Besar,2023-11-24 12:00:00,60,Hujan Ringan,85,26,79
Aceh Besar_2023-11-24T18:00:00,Aceh Besar,2023-11-24 18:00:00,1,Cerah Berawan,95,24,75
Aceh Jaya_2023-11-24T00:00:00,Aceh Jaya,2023-11-24 00:00:00,63,Hujan Lebat,90,24,75
Aceh Jaya_2023-11-24T06:00:00,Aceh Jaya,2023-11-24 06:00:00,60,Hujan Ringan,75,31,88
Aceh Jaya_2023-11-24T12:00:00,Aceh Jaya,2023-11-24 12:00:00,3,Berawan,85,26,79
Aceh Jaya_2023-11-24T18:00:00,Aceh Jaya,2023-11-24 18:00:00,3,Berawan,95,24,75
Aceh Selatan_2023-11-24T00:00:00,Aceh Selatan,2023-11-24 00:00:00,60,Hujan Ringan,90,24,75
Aceh Selatan_2023-11-24T06:00:00,Aceh Selatan,2023-11-24 06:00:00,3,Berawan,70,31,88
